ID,NUMBER,NAME,SEX,BIRTHDAY,TEL,CTCT_NAME,CTCT_ADDR,CTCT_TEL,PSPT_NO,PSPT_DATE,PSPT_NAME,RENTAL,DEPT,DESGN
1,WAP00104,Eric Duminil,1,1960-09-03,098-845-7881,,,,,,,,Sales,Manager
2,WAP00105,Buchanan Pearson,1,1961-09-03,06-6513-3352,,,,,,,,Sales,Manager
3,WAP00106,Stokes Mosley,1,1960-09-06,048-801-7860,,,,,,,,Engineering,Manager
4,WAP00107,Consuelo Cohen,2,1959-09-06,045-626-6044,,,,,,,,Sales,Manager
5,WAP00108,Luisa Brown,2,1961-09-06,042-804-3588,,,,,,,,Marketing,Manager
6,WAP00110,Gordon Linoff,1,1979-09-07,0537-65-9196,,,,,,,,Engineering,Senior Software Engineer
7,WAP00111,Michael Ritter,2,1979-09-07,076-230-5395,,,,,,,,Engineering,Senior Software Engineer
8,WAP00112,Dhruvin Moradiya,1,1979-09-09,096-266-1997,,,,,,,,Engineering,Senior Software Engineer
9,WAP00117,Shanna Taylor,2,1979-09-09,042-857-9972,,,,,,,,Marketing,Senior Marketing Officer
10,WAP00118,Jagannathan Alagurajan,1,1979-09-09,022-729-9752,,,,,,,,Design,Lead UI Designer
11,WAP00119,Matthews Walls,1,1979-09-10,052-534-6889,,,,,,,,Design,UI Designer
12,WAP00148,May Walker,1,1979-09-18,093-607-1445,,,,,,,,Engineering,Software Engineer
13,WAP00152,Mcgee Munoz,1,1979-09-20,052-534-2903,,,,,,,,Engineering,Software Engineer
14,WAP00155,Salas Rollins,1,1978-09-20,045-626-5432,,,,,,,,Sales,Trainee
15,WAP00161,Hogan Duffy,1,1979-09-21,042-206-8116,,,,,,,,Sales,Trainee
16,WAP00163,Bernadine Hewitt,2,1990-09-22,043-398-8725,,,,,,,,Sales,Trainee
17,WAP00165,Jack Sparrow,1,1990-09-22,095-867-7604,,,,,,,,Sales,Trainee
18,WAP00166,Tucker Battle,1,1990-09-24,025-323-2805,,,,,,,,Engineering,Trainee
19,WAP00167,Juarez Sellers,1,1990-09-25,04996-5-5512,,,,,,,,Engineering,Trainee
20,WAP00169,Tyler Delgado,1,1990-09-26,029-351-3501,,,,,,,,Engineering,Trainee
